Group Display Order|Group Name(Vector Name)|Group ID|Data Display Order|Graph Name(Vector Name)|Avg|Min|Max
10|Vuser Info(NA)|1|10|Running Vusers(NA)|128.488|98.729|128.000
10|Vuser Info(NA)|1|20|Active Vusers(NA)|123.209|0.000|128.000
10|Vuser Info(NA)|1|30|Thinking Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|40|Waiting Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|50|Idling Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|60|Number Of Connections(NA)|123.209|0.000|128.000
10|Vuser Info(NA)|1|70|SyncPoint Vusers(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|10|TCP Send Throughput (Kbps)(NA)|1421.517|6.497|1480.050
20|Network Throughput(NA)|2|20|TCP Total Send Bytes(NA)|34025442.000|1894464.000|34025442.000
20|Network Throughput(NA)|2|30|TCP Receive Throughput (Kbps)(NA)|884140.786|8120.972|918188.884
20|Network Throughput(NA)|2|40|TCP Total Receive Bytes(NA)|21162793850.000|1173087298.000|21162793850.000
20|Network Throughput(NA)|2|50|Ethernet Send Throughput (Kbps)(NA)|6511.271|162.145|7030.742
20|Network Throughput(NA)|2|60|Total Ethernet Send Bytes(NA)|155853785.000|8999351.000|155853785.000
20|Network Throughput(NA)|2|70|Ethernet Receive Throughput (Kbps)(NA)|927971.963|8521.070|963742.543
20|Network Throughput(NA)|2|80|Total Ethernet Receive Bytes(NA)|22211936910.000|1231381740.000|22211936910.000
20|Network Throughput(NA)|2|90|Ethernet Send Packets/Sec(NA)|9116.578|99.000|9936.000
20|Network Throughput(NA)|2|100|Ethernet Total Send Packets(NA)|1704887.000|99365.000|1704887.000
20|Network Throughput(NA)|2|110|Ethernet Receive Packets/Sec(NA)|79961.070|741.000|83039.000
20|Network Throughput(NA)|2|120|Ethernet Total Receive Packets(NA)|14952805.000|829574.000|14952805.000
20|Network Throughput(NA)|2|130|TCP Connections Open/Sec(NA)|0.684|0.000|12.800
20|Network Throughput(NA)|2|140|TCP Total Connections Open(NA)|128.000|128.000|128.000
20|Network Throughput(NA)|2|150|TCP Connections Close/Sec(NA)|0.684|0.000|12.800
20|Network Throughput(NA)|2|160|TCP Total Connections Close(NA)|128.000|0.000|128.000
20|Network Throughput(NA)|2|170|SSL New Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|180|SSL Total New Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|190|SSL Reused Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|200|SSL Total Reused Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|210|SSL Reuse attempted/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|220|SSL Total Reuse attempted(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|230|SSL Write Failures/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|240|SSL Handshake Failures/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|250|HTTP Body receive throughput (Kbps)(NA)|882180.815|8102.985|916153.399
