Group Display Order|Group Name|Data Display Order|Data Name|Data Value
10|Identity|10|Test Description|REGRESSION004
20|Configuration|10|Test Name|.Regression4
20|Configuration|20|Start Time|07/28/15  19:23:54
20|Configuration|40|Virtual Users|0
20|Configuration|40|Test Duration (Minutes)|19
30|Url|10|Url Min Time(Sec)|0.000
30|Url|20|Url Avg Time(Sec)|0.001
30|Url|30|Url Max Time(Sec)|0.265
30|Url|40|Url Median Time(Sec)|10.000
30|Url|50|Url 80th percentile Time(Sec)|10.000
30|Url|60|Url 90th percentile Time(Sec)|10.000
30|Url|70|Url 95th percentile Time(Sec)|10.000
30|Url|80|Url 99th percentile Time(Sec)|30.000
30|Url|90|Url Total|241105
30|Url|100|Url Success|237954
30|Url|110|Url Failures|3151
30|Url|120|Url Failure PCT|1.31
30|Url|140|URL Hits/Sec|202.78
40|Page|10|Page Min Time(Sec)|0.000
40|Page|20|Page Avg Time(Sec)|0.003
40|Page|30|Page Max Time(Sec)|0.394
40|Page|40|Page Median Time(Sec)|10.000
40|Page|50|Page 80th percentile Time(Sec)|10.000
40|Page|60|Page 90th percentile Time(Sec)|10.000
40|Page|70|Page 95th percentile Time(Sec)|20.000
40|Page|80|Page 99th percentile Time(Sec)|50.000
40|Page|90|Page Total|77153
40|Page|100|Page Success|69321
40|Page|110|Page Failures|7832
40|Page|120|Page Failure PCT|10.15
40|Page|140|Page Views/Sec|64.89
50|Trans.|10|Trans. Min Time(Sec)|0.000
50|Trans.|20|Trans. Avg Time(Sec)|0.312
50|Trans.|30|Trans. Max Time(Sec)|6.003
50|Trans.|35|Trans. Std Dev(Sec)|1.088
50|Trans.|40|Trans. Median Time(Sec)|10.000
50|Trans.|50|Trans. 80th percentile Time(Sec)|10.000
50|Trans.|60|Trans. 90th percentile Time(Sec)|30.000
50|Trans.|70|Trans. 95th percentile Time(Sec)|3670.000
50|Trans.|80|Trans. 99th percentile Time(Sec)|4950.000
50|Trans.|90|Trans. Total|40957
50|Trans.|100|Trans. Success|37790
50|Trans.|110|Trans. Failures|3167
50|Trans.|120|Trans. Failure PCT|7.73
50|Trans.|140|Transacions/Sec|34.45
60|Session|10|Session Min Time(Sec)|0.000
60|Session|20|Session Avg Time(Sec)|11.726
60|Session|30|Session Max Time(Sec)|605.782
60|Session|40|Session Median Time(Sec)|10.000
60|Session|50|Session 80th percentile Time(Sec)|10010.000
60|Session|60|Session 90th percentile Time(Sec)|10010.000
60|Session|70|Session 95th percentile Time(Sec)|10010.000
60|Session|80|Session 99th percentile Time(Sec)|10010.000
60|Session|90|Session Total|15671
