Group Name,Graph Name,Vector Name,Graph Type,Avg/Diff,Min,Max,Samples
Vuser Info,Running Vusers,NA,sample,127.177,99.657,128.000,19
Vuser Info,Active Vusers,NA,sample,121.905,0.000,128.000,19
Vuser Info,Thinking Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Waiting Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Idling Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Number Of Connections,NA,sample,121.905,0.000,128.000,19
Vuser Info,SyncPoint Vusers,NA,sample,0.000,0.000,0.000,19
Network Throughput,TCP Send Throughput (Kbps),NA,sample,1406.600,6.497,1482.473,19
Network Throughput,TCP Total Send Bytes,NA,cumulative,32130912.000,1897566.000,34028478.000,19
Network Throughput,TCP Receive Throughput (Kbps),NA,sample,874862.853,8097.216,918187.358,19
Network Throughput,TCP Total Receive Bytes,NA,cumulative,19989639438.000,1175042712.000,21164682150.000,19
Network Throughput,Ethernet Send Throughput (Kbps),NA,sample,6439.924,180.162,6951.265,19
Network Throughput,Total Ethernet Send Bytes,NA,cumulative,146897045.000,8897619.000,155794664.000,19
Network Throughput,Ethernet Receive Throughput (Kbps),NA,sample,918234.940,8581.454,963736.182,19
Network Throughput,Total Ethernet Receive Bytes,NA,cumulative,20980467241.000,1233472441.000,22213939682.000,19
Network Throughput,Ethernet Send Packets/Sec,NA,rate,9012.857,86.000,9784.000,19
Network Throughput,Ethernet Total Send Packets,NA,cumulative,1605660.000,97844.000,1703504.000,19
Network Throughput,Ethernet Receive Packets/Sec,NA,rate,79120.529,732.000,83093.000,19
Network Throughput,Ethernet Total Receive Packets,NA,cumulative,14122929.000,830931.000,14953860.000,19
Network Throughput,TCP Connections Open/Sec,NA,rate,0.677,0.000,12.800,19
Network Throughput,TCP Total Connections Open,NA,cumulative,0.000,128.000,128.000,19
Network Throughput,TCP Connections Close/Sec,NA,rate,0.677,0.000,12.800,19
Network Throughput,TCP Total Connections Close,NA,cumulative,128.000,0.000,128.000,19
Network Throughput,SSL New Sessions/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total New Sessions,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Reused Sessions/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total Reused Sessions,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Reuse attempted/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total Reuse attempted,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Write Failures/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Handshake Failures/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,HTTP Body receive throughput (Kbps),NA,rate,872923.450,8079.300,916151.944,19
