Group Name,Graph Name,Vector Name,Graph Type,Avg/Diff,Min,Max,Samples
Vuser Info,Running Vusers,NA,sample,128.600,126.560,128.000,19
Vuser Info,Active Vusers,NA,sample,121.905,0.000,128.000,19
Vuser Info,Thinking Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Waiting Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Idling Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Number Of Connections,NA,sample,109.471,0.000,120.000,19
Vuser Info,SyncPoint Vusers,NA,sample,0.000,0.000,0.000,19
Network Throughput,TCP Send Throughput (Kbps),NA,sample,23011.823,103.929,24207.848,19
Network Throughput,TCP Total Send Bytes,NA,cumulative,525794022.000,30908007.000,556702029.000,19
Network Throughput,TCP Receive Throughput (Kbps),NA,sample,37762.992,175.950,39725.700,19
Network Throughput,TCP Total Receive Bytes,NA,cumulative,862848640.000,50713664.000,913562304.000,19
Network Throughput,Ethernet Send Throughput (Kbps),NA,sample,154340.211,842.602,162349.143,19
Network Throughput,Total Ethernet Send Bytes,NA,cumulative,3526444722.000,207353661.000,3733798383.000,19
Network Throughput,Ethernet Receive Throughput (Kbps),NA,sample,207298.379,1087.892,218061.832,19
Network Throughput,Total Ethernet Receive Bytes,NA,cumulative,4736512002.000,278450400.000,5014962402.000,19
Network Throughput,Ethernet Send Packets/Sec,NA,rate,231757.937,1040.000,243796.000,19
Network Throughput,Ethernet Total Send Packets,NA,cumulative,41369808.000,2432516.000,43802324.000,19
Network Throughput,Ethernet Receive Packets/Sec,NA,rate,301180.741,1358.000,316832.000,19
Network Throughput,Ethernet Total Receive Packets,NA,cumulative,53762653.000,3160591.000,56923244.000,19
Network Throughput,TCP Connections Open/Sec,NA,rate,75525.984,341.100,79451.400,19
Network Throughput,TCP Total Connections Open,NA,cumulative,13481898.000,792513.000,14274411.000,19
Network Throughput,TCP Connections Close/Sec,NA,rate,75525.984,351.900,79451.400,19
Network Throughput,TCP Total Connections Close,NA,cumulative,13482010.000,792401.000,14274411.000,19
Network Throughput,SSL New Sessions/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total New Sessions,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Reused Sessions/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total Reused Sessions,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Reuse attempted/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total Reuse attempted,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Write Failures/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Handshake Failures/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,HTTP Body receive throughput (Kbps),NA,rate,1180.094,5.498,1241.428,19
Network Throughput,HTTP Body Total receive bytes,NA,cumulative,26964020.000,1584802.000,28548822.000,19
HTTP Requests,Requests Sent/Sec,NA,rate,75525.984,340.500,79451.100,19
HTTP Requests,Requests Completed/Sec,NA,rate,75525.984,351.900,79451.400,19
HTTP Requests,Requests Successful/Sec,NA,rate,75525.984,351.900,79451.400,19
HTTP Requests,Average Response Time (Secs),NA,times,0.001,0.000,0.028,14274411
HTTP Requests,Requests Completed,NA,cumulative,13482010.000,792401.000,14274411.000,19
HTTP Requests,Requests Successful,NA,cumulative,13482010.000,792401.000,14274411.000,19
HTTP Response Codes,100 Continue/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,101 Switching Protocols/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,200 OK/Sec,NA,rate,75525.984,0.000,79451.400,20
HTTP Response Codes,201 Created/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,202 Accepted/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,203 Non-Authoritative Information/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,204 No Content/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,205 Reset Content/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,206 Partial Content/Sec,NA,rate,0.000,0.000,0.000,20
