TopNavigation,LeftNav,ProductPage,ProductID,ProductSKU
sale-event/jewelry-watches.jsp?CN=4294721398+4294721317&N=4294721398+4294721317,catalog/rings.jsp?CN=4294720672&N=4294720672,product/prd-1298466/jennifer-lopez-simulated-crystal-snake-ring.jsp,1298466,93695180
sale-event/jewelry-watches.jsp?CN=4294721398+4294721317&N=4294721398+4294721317,catalog/rings.jsp?CN=4294720672&N=4294720672,product/prd-1298466/jennifer-lopez-simulated-crystal-snake-ring.jsp,1298466,93695207
sale-event/mens.jsp?CN=4294723349&N=4294723349,catalog/male-chaps.jsp?CN=4294737747+4294874946+4294737907&N=4294737747+4294874946+4294737907,product/prd-1255674/chaps-easy-care-solid-casual-button-down-shirt.jsp,1255674,93360213
sale-event/mens.jsp?CN=4294723349&N=4294723349,catalog/male-chaps.jsp?CN=4294737747+4294874946+4294737907&N=4294737747+4294874946+4294737907,product/prd-1255674/chaps-easy-care-solid-casual-button-down-shirt.jsp,1255674,93360214
sale-event/mens.jsp?CN=4294723349&N=4294723349,catalog/male-chaps.jsp?CN=4294737747+4294874946+4294737907&N=4294737747+4294874946+4294737907,product/prd-1255674/chaps-easy-care-solid-casual-button-down-shirt.jsp,1255674,93360215
sale-event/mens.jsp?CN=4294723349&N=4294723349,catalog/male-chaps.jsp?CN=4294737747+4294874946+4294737907&N=4294737747+4294874946+4294737907,product/prd-1255674/chaps-easy-care-solid-casual-button-down-shirt.jsp,1255674,93360216
sale-event/mens.jsp?CN=4294723349&N=4294723349,catalog/male-chaps.jsp?CN=4294737747+4294874946+4294737907&N=4294737747+4294874946+4294737907,product/prd-1255674/chaps-easy-care-solid-casual-button-down-shirt.jsp,1255674,93360217
sale-event/womens.jsp?CN=4294728802&N=4294728802,catalog/womens-small.jsp?CN=4294728802+4294905288&N=4294728802+4294905288,product/prd-1094073/degrees-by-180s-eargrips-discovery-fleece-ear-warmers.jsp,1094073,92908453
sale-event/womens.jsp?CN=4294728802&N=4294728802,catalog/womens-small.jsp?CN=4294728802+4294905288&N=4294728802+4294905288,product/prd-1094073/degrees-by-180s-eargrips-discovery-fleece-ear-warmers.jsp,1094073,92908496
sale-event/womens.jsp?CN=4294728802&N=4294728802,catalog/womens-small.jsp?CN=4294728802+4294905288&N=4294728802+4294905288,product/prd-1094073/degrees-by-180s-eargrips-discovery-fleece-ear-warmers.jsp,1094073,92954754
