Group Display Order|Group Name(Vector Name)|Group ID|Data Display Order|Graph Name(Vector Name)|Avg|Min|Max
10|Vuser Info(NA)|1|10|Running Vusers(NA)|130.752|127.979|128.000
10|Vuser Info(NA)|1|20|Active Vusers(NA)|123.871|0.000|128.000
10|Vuser Info(NA)|1|30|Thinking Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|40|Waiting Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|50|Idling Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|60|Number Of Connections(NA)|123.871|0.000|128.000
10|Vuser Info(NA)|1|70|SyncPoint Vusers(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|10|TCP Send Throughput (Kbps)(NA)|130922.690|590.302|135545.932
20|Network Throughput(NA)|2|20|TCP Total Send Bytes(NA)|3117007413.000|172030989.000|3117007413.000
20|Network Throughput(NA)|2|30|TCP Receive Throughput (Kbps)(NA)|214847.492|973.350|222434.250
20|Network Throughput(NA)|2|40|TCP Total Receive Bytes(NA)|5115089088.000|282301824.000|5115089088.000
20|Network Throughput(NA)|2|50|Ethernet Send Throughput (Kbps)(NA)|366026.097|1754.668|378937.699
20|Network Throughput(NA)|2|60|Total Ethernet Send Bytes(NA)|8714349335.000|481040271.000|8714349335.000
20|Network Throughput(NA)|2|70|Ethernet Receive Throughput (Kbps)(NA)|449952.090|2126.918|465831.214
20|Network Throughput(NA)|2|80|Total Ethernet Receive Bytes(NA)|10712459379.000|591310288.000|10712459379.000
20|Network Throughput(NA)|2|90|Ethernet Send Packets/Sec(NA)|429708.925|1951.000|444876.000
20|Network Throughput(NA)|2|100|Ethernet Total Send Packets(NA)|79925931.000|4412040.000|79925931.000
20|Network Throughput(NA)|2|110|Ethernet Receive Packets/Sec(NA)|429713.011|1942.000|444880.000
20|Network Throughput(NA)|2|120|Ethernet Total Receive Packets(NA)|79926713.000|4412052.000|79926713.000
20|Network Throughput(NA)|2|130|TCP Connections Open/Sec(NA)|0.688|0.000|12.800
20|Network Throughput(NA)|2|140|TCP Total Connections Open(NA)|128.000|128.000|128.000
20|Network Throughput(NA)|2|150|TCP Connections Close/Sec(NA)|0.688|0.000|12.800
20|Network Throughput(NA)|2|160|TCP Total Connections Close(NA)|128.000|0.000|128.000
20|Network Throughput(NA)|2|170|SSL New Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|180|SSL Total New Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|190|SSL Reused Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|200|SSL Total Reused Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|210|SSL Reuse attempted/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|220|SSL Total Reuse attempted(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|230|SSL Write Failures/Sec(NA)|0.000|0.000|0.000
