Group Name,Graph Name,Vector Name,Graph Type,Avg/Diff,Min,Max,Samples
Vuser Info,Running Vusers,NA,sample,473.217,3.104,704.975,155
Vuser Info,Active Vusers,NA,sample,1.715,0.000,18.000,155
Vuser Info,Thinking Vusers,NA,sample,471.952,0.000,717.000,155
Vuser Info,Waiting Vusers,NA,sample,0.000,0.000,0.000,155
Vuser Info,Idling Vusers,NA,sample,0.000,0.000,0.000,155
Vuser Info,Number Of Connections,NA,sample,1808.028,0.000,2754.000,155
Vuser Info,SyncPoint Vusers,NA,sample,0.000,0.000,0.000,155
Network Throughput,TCP Send Throughput (Kbps),NA,sample,5323.071,18.712,8075.697,155
Network Throughput,TCP Total Send Bytes,NA,cumulative,1055867212.000,51266.000,1055918478.000,155
Network Throughput,TCP Receive Throughput (Kbps),NA,sample,29203.638,62.873,44502.307,155
Network Throughput,TCP Total Receive Bytes,NA,cumulative,5796288205.000,357207.000,5796645412.000,155
Network Throughput,Ethernet Send Throughput (Kbps),NA,sample,7848.643,115.602,12554.464,155
Network Throughput,Total Ethernet Send Bytes,NA,cumulative,1563958301.000,244861.000,1564203162.000,155
Network Throughput,Ethernet Receive Throughput (Kbps),NA,sample,32088.642,158.989,49156.208,155
Network Throughput,Total Ethernet Receive Bytes,NA,cumulative,6394563914.000,574176.000,6395138090.000,155
Network Throughput,Ethernet Send Packets/Sec,NA,rate,3317.392,26.000,5151.000,155
Network Throughput,Ethernet Total Send Packets,NA,cumulative,5165361.000,527.000,5165888.000,155
Network Throughput,Ethernet Receive Packets/Sec,NA,rate,3889.428,21.000,5978.000,155
Network Throughput,Ethernet Total Receive Packets,NA,cumulative,6055802.000,695.000,6056497.000,155
Network Throughput,TCP Connections Open/Sec,NA,rate,173.948,0.000,262.200,155
Network Throughput,TCP Total Connections Open,NA,cumulative,270813.000,24.000,270837.000,155
Network Throughput,TCP Connections Close/Sec,NA,rate,173.948,0.400,266.400,155
Network Throughput,TCP Total Connections Close,NA,cumulative,270833.000,4.000,270837.000,155
