Group Display Order|Group Name|Data Display Order|Data Name|Data Value
10|Identity|10|Test Description|Performance_concurrency_withoutwan
20|Configuration|10|Test Name|.concurrency
20|Configuration|20|Start Time|03/14/16  12:20:38
20|Configuration|40|Virtual Users|200000
20|Configuration|40|Test Duration (Minutes)|9
30|Url|10|Url Min Time(Sec)|0.000
30|Url|20|Url Avg Time(Sec)|0.088
30|Url|30|Url Max Time(Sec)|2.571
30|Url|40|Url Median Time(Sec)|0.030
30|Url|50|Url 80th percentile Time(Sec)|0.140
30|Url|60|Url 90th percentile Time(Sec)|0.250
30|Url|70|Url 95th percentile Time(Sec)|0.370
30|Url|80|Url 99th percentile Time(Sec)|0.820
30|Url|90|Url Total|63674496
30|Url|100|Url Success|63674496
30|Url|110|Url Failures|0
30|Url|120|Url Failure PCT|0.00
30|Url|140|URL Hits/Sec|115561.70
40|Page|10|Page Min Time(Sec)|0.000
40|Page|20|Page Avg Time(Sec)|0.088
40|Page|30|Page Max Time(Sec)|2.571
40|Page|40|Page Median Time(Sec)|0.030
40|Page|50|Page 80th percentile Time(Sec)|0.140
40|Page|60|Page 90th percentile Time(Sec)|0.250
40|Page|70|Page 95th percentile Time(Sec)|0.370
40|Page|80|Page 99th percentile Time(Sec)|0.820
40|Page|90|Page Total|63674496
40|Page|100|Page Success|63674496
40|Page|110|Page Failures|0
40|Page|120|Page Failure PCT|0.00
40|Page|140|Page Views/Sec|115561.70
50|Trans.|10|Trans. Min Time(Sec)|-
50|Trans.|20|Trans. Avg Time(Sec)|-
50|Trans.|30|Trans. Max Time(Sec)|-
50|Trans.|35|Trans. Std Dev (Sec)|-
50|Trans.|40|Trans. Median Time(Sec)|-
50|Trans.|50|Trans. 80th percentile Time(Sec)|-
50|Trans.|60|Trans. 90th percentile Time(Sec)|-
50|Trans.|70|Trans. 95th percentile Time(Sec)|-
50|Trans.|80|Trans. 99th percentile Time(Sec)|-
50|Trans.|90|Trans. Total|0
50|Trans.|100|Trans. Success|0
50|Trans.|110|Trans. Failures|0
50|Trans.|120|Trans. Failure PCT|0.00
50|Trans.|140|Transacions/Sec|0.00
60|Session|10|Session Min Time(Sec)|0.000
60|Session|20|Session Avg Time(Sec)|0.111
60|Session|30|Session Max Time(Sec)|2.637
60|Session|40|Session Median Time(Sec)|0.040
60|Session|50|Session 80th percentile Time(Sec)|0.200
60|Session|60|Session 90th percentile Time(Sec)|0.310
60|Session|70|Session 95th percentile Time(Sec)|0.460
60|Session|80|Session 99th percentile Time(Sec)|0.890
60|Session|90|Session Total|63674496
60|Session|100|Session Success|63674496
60|Session|110|Session Failures|0
60|Session|120|Session Failure PCT|0.00
60|Session|130|Avergae VUsers|133205.93
60|Session|140|Session/minute|6933702.00
70|Network|10|Ethernet Rx Throughput (Kbps)|132896.113
70|Network|15|Ethernet Rx Total (Bytes)|9372897121
70|Network|20|Ethernet Tx Throughput (Kbps)|505977.154
70|Network|25|Ethernet Tx Total (Bytes)|35685556777
70|Network|30|TCP Rx Throughput (Kbps)|57780.849
70|Network|30|TCP Rx Total (Bytes)|4075167744
70|Network|40|TCP Tx Throughput (Kbps)|377445.366
70|Network|40|TCP Tx Total (Bytes)|26620466776
70|Network|41|TCP Connections Open/Sec|362
70|Network|58|Total TCP Connections Open|200000
70|Network|42|TCP Connections Close/Sec|362
70|Network|59|Total TCP Connections Close|200000
70|Network|43|TCP Connections Total|200000
70|Network|44|TCP Connections Success|200000
70|Network|45|TCP Connections Failures|0
70|Network|46|SSL New Sessions/Sec|0.000
70|Network|55|SSL Total New Sessions|0
70|Network|47|SSL Reuse Requested Sessions/Sec|0.000
70|Network|56|SSL Total Reuse Requested|0
70|Network|48|SSL Reused Sessions/Sec|0.000
70|Network|57|SSL Total Reused Sessions|0
70|Network|50|TCP Min Connections|0
70|Network|52|TCP Avg Connections|132712
70|Network|54|TCP Max Connections|200000
200|Server Stats (127.0.0.1)|10|Min Context Switch/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|12|Avg Context Switch/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|14|Max Context Switch/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|20|Min Interrupts/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|22|Avg Interrupts/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|24|Max Interrupts/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|30|Min Load AVG 1M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|32|Avg Load AVG 1M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|34|Max Load AVG 1M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|36|Min Load AVG 5M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|38|Avg Load AVG 5M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|40|Max Load AVG 5M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|42|Min Load AVG 15M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|44|Avg Load AVG 15M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|46|Max Load AVG 15M (127.0.0.1)|  0.00
200|Server Stats (127.0.0.1)|50|Min Pct CPU User Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|52|Avg Pct CPU User Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|54|Max Pct CPU User Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|56|Min Pct CPU Sys Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|58|Avg Pct CPU Sys Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|60|Max Pct CPU Sys Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|62|Min Pct CPU Total Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|64|Avg Pct CPU Total Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|66|Max Pct CPU Total Busy (127.0.0.1)|  0
200|Server Stats (127.0.0.1)|80|Min Paging In/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|82|Avg Paging In/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|84|Max Paging In/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|90|Min Paging Out/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|92|Avg Paging Out/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|94|Max Paging Out/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|100|Min Swapping In/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|102|Avg Swapping In/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|104|Max Swapping In/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|110|Min Swapping Out/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|122|Avg Swapping Out/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|114|Max Swapping Out/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|120|Min Eth Pkt In/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|122|Avg Eth Pkt In/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|124|Max Eth Pkt In/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|130|Min Eth Pkt Out/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|132|Avg Eth Pkt Out/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|134|Max Eth Pkt Out/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|140|Min Eth Err In/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|142|Avg Eth Err In/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|144|Max Eth Err In/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|150|Min Eth Err Out/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|152|Avg Eth Err Out/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|154|Max Eth Err Out/Sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|160|Min Eth Collisions/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|162|Avg Eth Collisions/sec (127.0.0.1)|0
200|Server Stats (127.0.0.1)|164|Max Eth Collisions/Sec (127.0.0.1)|0
