Group Display Order|Group Name(Vector Name)|Group ID|Data Display Order|Graph Name(Vector Name)|Avg|Min|Max
10|Vuser Info(NA)|1|10|Running Vusers(NA)|29.376|10.485|30.000
10|Vuser Info(NA)|1|20|Active Vusers(NA)|0.288|0.000|3.000
10|Vuser Info(NA)|1|30|Thinking Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|40|Waiting Vusers(NA)|28.894|0.000|30.000
10|Vuser Info(NA)|1|50|Idling Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|60|Number Of Connections(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|70|SyncPoint Vusers(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|10|TCP Send Throughput (Kbps)(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|20|TCP Total Send Bytes(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|30|TCP Receive Throughput (Kbps)(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|40|TCP Total Receive Bytes(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|50|Ethernet Send Throughput (Kbps)(NA)|331.081|233.766|488.592
20|Network Throughput(NA)|2|60|Total Ethernet Send Bytes(NA)|26444141.000|360156.000|26444141.000
20|Network Throughput(NA)|2|70|Ethernet Receive Throughput (Kbps)(NA)|32058.168|14905.578|51866.671
20|Network Throughput(NA)|2|80|Total Ethernet Receive Bytes(NA)|2560550017.000|25142664.000|2560550017.000
20|Network Throughput(NA)|2|90|Ethernet Send Packets/Sec(NA)|372.356|171.000|659.000
20|Network Throughput(NA)|2|100|Ethernet Total Send Packets(NA)|232637.000|2624.000|232637.000
20|Network Throughput(NA)|2|110|Ethernet Receive Packets/Sec(NA)|2780.897|1284.000|4457.000
20|Network Throughput(NA)|2|120|Ethernet Total Receive Packets(NA)|1735542.000|17298.000|1735542.000
20|Network Throughput(NA)|2|130|TCP Connections Open/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|140|TCP Total Connections Open(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|150|TCP Connections Close/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|160|TCP Total Connections Close(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|170|SSL New Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|180|SSL Total New Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|190|SSL Reused Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|200|SSL Total Reused Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|210|SSL Reuse attempted/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|220|SSL Total Reuse attempted(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|230|SSL Write Failures/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|240|SSL Handshake Failures/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|250|HTTP Body receive throughput (Kbps)(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|260|HTTP Body Total receive bytes(NA)|0.000|0.000|0.000
30|HTTP Requests(NA)|3|10|Requests Sent/Sec(NA)|0.000|0.000|0.000
30|HTTP Requests(NA)|3|20|Requests Completed/Sec(NA)|0.000|0.000|0.000
30|HTTP Requests(NA)|3|30|Requests Successful/Sec(NA)|0.000|0.000|0.000
30|HTTP Requests(NA)|3|40|Average Response Time (Secs)(NA)|0.000|4294967.295|0.000
30|HTTP Requests(NA)|3|50|Requests Completed(NA)|0.000|0.000|0.000
30|HTTP Requests(NA)|3|60|Requests Successful(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|10|100 Continue/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|20|101 Switching Protocols/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|30|200 OK/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|40|201 Created/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|50|202 Accepted/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|60|203 Non-Authoritative Information/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|70|204 No Content/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|80|205 Reset Content/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|90|206 Partial Content/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|100|300 Multiple Choices/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|110|301 Moved Permanently/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|120|302 Found/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|130|303 See Other/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|140|304 Not Modified/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|150|305 Use Proxy/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|160|306 Switch Proxy/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|170|307 Temporary Redirect/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|180|400 Bad Request/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|190|401 Unauthorized/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|200|402 Payment Required/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|210|403 Forbidden/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|220|404 Not Found/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|230|405 Method Not Allowed/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|240|406 Not Acceptable/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|250|407 Proxy Authentication Required/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|260|408 Request Timeout/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|270|409 Conflict/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|280|410 Gone/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|290|411 Length Required/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|300|412 Precondition Failed/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|310|413 Request Entity Too Large/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|320|414 Request-URI Too Long/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|330|415 Unsupported Media Type/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|340|416 Requested Range Not Satisfiable/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|350|417 Expectation Failed/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|360|500 Internal Server Error/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|370|501 Not Implemented/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|380|502 Bad Gateway/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|390|503 Service Unavailable/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|400|504 Gateway Timeout/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|410|505 HTTP Version Not Supported/Sec(NA)|0.000|0.000|0.000
50|Page Download(NA)|4|10|Page Download Started/Second(NA)|6.482|3.000|8.200
50|Page Download(NA)|4|20|Page Download Completed/Second(NA)|6.482|3.000|8.100
50|Page Download(NA)|4|30|Success Page Responses/Second(NA)|6.482|3.000|8.100
50|Page Download(NA)|4|40|Average Page Response Time (Secs)(NA)|0.025|0.000|0.329
50|Page Download(NA)|4|50|Total Pages Completed(NA)|4045.000|49.000|4045.000
50|Page Download(NA)|4|60|Total Pages Success(NA)|4045.000|49.000|4045.000
50|Page Download(NA)|4|70|Average Java Script processing Time (Secs)(NA)|0.000|0.000|0.000
50|Page Download(NA)|4|80|Average Page processing Time (Secs)(NA)|0.000|0.000|0.002
60|Session(NA)|5|10|Sessions Started/Second(NA)|3.896|1.800|4.800
60|Session(NA)|5|20|Sessions Completed/Second(NA)|3.896|1.800|4.700
60|Session(NA)|5|30|Successful Sessions/Second(NA)|3.896|1.800|4.700
60|Session(NA)|5|40|Average Session Response Time (Secs)(NA)|0.041|0.001|0.331
60|Session(NA)|5|50|Total Session Completed(NA)|2431.000|27.000|2431.000
