Group Display Order|Group Name(Vector Name)|Group ID|Data Display Order|Graph Name(Vector Name)|Avg|Min|Max
10|Vuser Info(NA)|1|10|Running Vusers(NA)|129.246|99.988|128.000
10|Vuser Info(NA)|1|20|Active Vusers(NA)|123.871|0.000|128.000
10|Vuser Info(NA)|1|30|Thinking Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|40|Waiting Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|50|Idling Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|60|Number Of Connections(NA)|123.871|0.000|128.000
10|Vuser Info(NA)|1|70|SyncPoint Vusers(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|10|TCP Send Throughput (Kbps)(NA)|1429.312|6.806|1482.525
20|Network Throughput(NA)|2|20|TCP Total Send Bytes(NA)|34029072.000|1897632.000|34029072.000
20|Network Throughput(NA)|2|30|TCP Receive Throughput (Kbps)(NA)|888989.062|8307.737|918193.409
20|Network Throughput(NA)|2|40|TCP Total Receive Bytes(NA)|21165051600.000|1175052848.000|21165051600.000
20|Network Throughput(NA)|2|50|Ethernet Send Throughput (Kbps)(NA)|6542.394|155.892|6936.395
20|Network Throughput(NA)|2|60|Total Ethernet Send Bytes(NA)|155761323.000|8878586.000|155761323.000
20|Network Throughput(NA)|2|70|Ethernet Receive Throughput (Kbps)(NA)|933061.093|8734.039|963726.166
20|Network Throughput(NA)|2|80|Total Ethernet Receive Bytes(NA)|22214318505.000|1233483486.000|22214318505.000
20|Network Throughput(NA)|2|90|Ethernet Send Packets/Sec(NA)|9158.118|87.000|9759.000
20|Network Throughput(NA)|2|100|Ethernet Total Send Packets(NA)|1703504.000|97594.000|1703504.000
20|Network Throughput(NA)|2|110|Ethernet Receive Packets/Sec(NA)|80398.656|747.000|83098.000
20|Network Throughput(NA)|2|120|Ethernet Total Receive Packets(NA)|14954246.000|830981.000|14954246.000
20|Network Throughput(NA)|2|130|TCP Connections Open/Sec(NA)|0.688|0.000|12.800
20|Network Throughput(NA)|2|140|TCP Total Connections Open(NA)|128.000|128.000|128.000
20|Network Throughput(NA)|2|150|TCP Connections Close/Sec(NA)|0.688|0.000|12.800
20|Network Throughput(NA)|2|160|TCP Total Connections Close(NA)|128.000|0.000|128.000
20|Network Throughput(NA)|2|170|SSL New Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|180|SSL Total New Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|190|SSL Reused Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|200|SSL Total Reused Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|210|SSL Reuse attempted/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|220|SSL Total Reuse attempted(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|230|SSL Write Failures/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|240|SSL Handshake Failures/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|250|HTTP Body receive throughput (Kbps)(NA)|887018.344|8289.324|916157.853
20|Network Throughput(NA)|2|260|HTTP Body Total receive bytes(NA)|21118132728.000|1172447973.000|21118132728.000
30|HTTP Requests(NA)|3|10|Requests Sent/Sec(NA)|2772.000|13.200|2875.200
30|HTTP Requests(NA)|3|20|Requests Completed/Sec(NA)|2772.000|26.000|2863.000
30|HTTP Requests(NA)|3|30|Requests Successful/Sec(NA)|2772.000|26.000|2863.000
30|HTTP Requests(NA)|3|40|Average Response Time (Secs)(NA)|0.044|0.014|0.088
30|HTTP Requests(NA)|3|50|Requests Completed(NA)|515592.000|28624.000|515592.000
30|HTTP Requests(NA)|3|60|Requests Successful(NA)|515592.000|28624.000|515592.000
40|HTTP Response Codes(NA)|25|10|100 Continue/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|20|101 Switching Protocols/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|30|200 OK/Sec(NA)|2772.000|0.000|2863.000
40|HTTP Response Codes(NA)|25|40|201 Created/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|50|202 Accepted/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|60|203 Non-Authoritative Information/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|70|204 No Content/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|80|205 Reset Content/Sec(NA)|0.000|0.000|0.000
