Group Name,Graph Name,Vector Name,Graph Type,Avg/Diff,Min,Max,Samples
Vuser Info,Running Vusers,NA,sample,128.650,127.500,128.000,19
Vuser Info,Active Vusers,NA,sample,121.905,0.000,128.000,19
Vuser Info,Thinking Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Waiting Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Idling Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Number Of Connections,NA,sample,121.905,0.000,128.000,19
Vuser Info,SyncPoint Vusers,NA,sample,0.000,0.000,0.000,19
Network Throughput,TCP Send Throughput (Kbps),NA,sample,128793.936,613.549,135534.263,19
Network Throughput,TCP Total Send Bytes,NA,cumulative,2942775303.000,173007588.000,3115782891.000,19
Network Throughput,TCP Receive Throughput (Kbps),NA,sample,211354.151,1011.050,222414.700,19
Network Throughput,TCP Total Receive Bytes,NA,cumulative,4829175104.000,283904512.000,5113079616.000,19
Network Throughput,Ethernet Send Throughput (Kbps),NA,sample,360077.731,1849.040,378909.652,19
Network Throughput,Total Ethernet Send Bytes,NA,cumulative,8227249564.000,483750916.000,8711000480.000,19
Network Throughput,Ethernet Receive Throughput (Kbps),NA,sample,442635.863,2236.312,465788.544,19
Network Throughput,Total Ethernet Receive Bytes,NA,cumulative,10113589384.000,594657436.000,10708246820.000,19
Network Throughput,Ethernet Send Packets/Sec,NA,rate,422722.275,2033.000,444838.000,19
Network Throughput,Ethernet Total Send Packets,NA,cumulative,75457629.000,4436960.000,79894589.000,19
Network Throughput,Ethernet Receive Packets/Sec,NA,rate,422724.709,2022.000,444841.000,19
Network Throughput,Ethernet Total Receive Packets,NA,cumulative,75458083.000,4436973.000,79895056.000,19
Network Throughput,TCP Connections Open/Sec,NA,rate,0.677,0.000,12.800,19
Network Throughput,TCP Total Connections Open,NA,cumulative,0.000,128.000,128.000,19
Network Throughput,TCP Connections Close/Sec,NA,rate,0.677,0.000,12.800,19
Network Throughput,TCP Total Connections Close,NA,cumulative,128.000,0.000,128.000,19
Network Throughput,SSL New Sessions/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total New Sessions,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Reused Sessions/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total Reused Sessions,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Reuse attempted/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total Reuse attempted,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Write Failures/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Handshake Failures/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,HTTP Body receive throughput (Kbps),NA,rate,6604.817,31.595,6950.459,19
Network Throughput,HTTP Body Total receive bytes,NA,cumulative,150911722.000,8872016.000,159783738.000,19
HTTP Requests,Requests Sent/Sec,NA,rate,422708.302,2013.700,444830.400,19
HTTP Requests,Requests Completed/Sec,NA,rate,422708.302,2022.100,444829.400,19
HTTP Requests,Requests Successful/Sec,NA,rate,422708.302,2022.100,444829.400,19
HTTP Requests,Average Response Time (Secs),NA,times,0.000,0.000,0.020,79891869
HTTP Requests,Requests Completed,NA,cumulative,75455861.000,4436008.000,79891869.000,19
HTTP Requests,Requests Successful,NA,cumulative,75455861.000,4436008.000,79891869.000,19
HTTP Response Codes,100 Continue/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,101 Switching Protocols/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,200 OK/Sec,NA,rate,422708.302,0.000,444829.400,20
HTTP Response Codes,201 Created/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,202 Accepted/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,203 Non-Authoritative Information/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,204 No Content/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,205 Reset Content/Sec,NA,rate,0.000,0.000,0.000,20
HTTP Response Codes,206 Partial Content/Sec,NA,rate,0.000,0.000,0.000,20
