Group Name,Graph Name,Vector Name,Graph Type,Avg/Diff,Min,Max,Samples
Vuser Info,Running Vusers,NA,sample,1033.869,0.000,1350.000,92
Vuser Info,Active Vusers,NA,sample,0.402,0.000,8.000,92
Vuser Info,Thinking Vusers,NA,sample,260.771,0.000,337.000,92
Vuser Info,Waiting Vusers,NA,sample,772.823,0.000,1013.000,92
Vuser Info,Idling Vusers,NA,sample,0.000,0.000,0.000,92
Vuser Info,Number Of Connections,NA,sample,707.980,0.000,945.000,92
Vuser Info,SyncPoint Vusers,NA,sample,0.000,0.000,0.000,92
Network Throughput,TCP Send Throughput (Kbps),NA,sample,10179.276,0.000,13537.677,92
Network Throughput,TCP Total Send Bytes,NA,cumulative,1200014454.000,0.000,1200014454.000,92
Network Throughput,TCP Receive Throughput (Kbps),NA,sample,54046.695,0.000,71959.626,92
Network Throughput,TCP Total Receive Bytes,NA,cumulative,6371456824.000,0.000,6371456824.000,92
Network Throughput,Ethernet Send Throughput (Kbps),NA,sample,15366.949,102.433,20324.252,92
Network Throughput,Total Ethernet Send Bytes,NA,cumulative,1811447797.000,131114.000,1811578911.000,92
Network Throughput,Ethernet Receive Throughput (Kbps),NA,sample,59953.655,104.728,79784.580,92
Network Throughput,Total Ethernet Receive Bytes,NA,cumulative,7067682453.000,134052.000,7067816505.000,92
Network Throughput,Ethernet Send Packets/Sec,NA,rate,6628.719,2.000,8740.000,92
Network Throughput,Ethernet Total Send Packets,NA,cumulative,6105244.000,227.000,6105471.000,92
Network Throughput,Ethernet Receive Packets/Sec,NA,rate,7736.145,2.000,10242.000,92
Network Throughput,Ethernet Total Receive Packets,NA,cumulative,7125184.000,245.000,7125429.000,92
Network Throughput,TCP Connections Open/Sec,NA,rate,564.045,0.000,750.400,92
Network Throughput,TCP Total Connections Open,NA,cumulative,519485.000,0.000,519485.000,92
Network Throughput,TCP Connections Close/Sec,NA,rate,564.047,0.000,748.900,92
Network Throughput,TCP Total Connections Close,NA,cumulative,519487.000,0.000,519487.000,92
Network Throughput,SSL New Sessions/Sec,NA,rate,20.744,0.000,27.000,92
Network Throughput,SSL Total New Sessions,NA,cumulative,19105.000,0.000,19105.000,92
Network Throughput,SSL Reused Sessions/Sec,NA,rate,41.484,0.000,54.000,92
Network Throughput,SSL Total Reused Sessions,NA,cumulative,38207.000,0.000,38207.000,92
Network Throughput,SSL Reuse attempted/Sec,NA,rate,41.484,0.000,54.000,92
Network Throughput,SSL Total Reuse attempted,NA,cumulative,38207.000,0.000,38207.000,92
Network Throughput,SSL Write Failures/Sec,NA,rate,0.000,0.000,0.000,92
Network Throughput,SSL Handshake Failures/Sec,NA,rate,0.000,0.000,0.000,92
Network Throughput,HTTP Body receive throughput (Kbps),NA,rate,52746.272,0.000,70239.684,92
Network Throughput,HTTP Body Total receive bytes,NA,cumulative,6218152516.000,0.000,6218152516.000,92
HTTP Requests,Requests Sent/Sec,NA,rate,1779.408,0.000,2363.700,92
HTTP Requests,Requests Completed/Sec,NA,rate,1779.408,0.000,2363.700,92
