#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,33044,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,33045,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,33046,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,33047,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,33048,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,33049,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,33050,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,33051,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,33052,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,33053,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,33054,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,33055,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,33056,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,33057,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,33058,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,33059,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,33060,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,33061,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,33062,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,33063,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,33064,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,33065,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-002-001,33066,1,1,pass,Http authentication basic for apache main param session Passed
SMOKE-002-002,33067,1,1,pass,Http authentication basic for apache main param use Passed
SMOKE-002-003,33068,1,1,fail,Http authentication basic for apache for PageDump Failed
SMOKE-002-004,33069,1,1,pass,Http authentication basic main with keep alive Passed
SMOKE-002-005,33070,1,1,pass,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,33071,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,33072,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,33073,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,33074,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,33075,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,33076,1,1,pass,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,33077,1,1,pass,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,33078,1,1,pass,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,33079,1,1,pass,No jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,33080,1,1,pass,jsp based url being requested after including jsp based pattern
SMOKE-003-011,33081,1,1,pass,js based url were not requested after excluding js+ based pattern
SMOKE-003-012,33082,1,1,pass,jsp inlines have been filtered out but js being included for js? pattern
SMOKE-003-013,33083,1,1,pass,only js and jsp based inlines have been requested for including jsp? pattern
SMOKE-003-014,33084,1,1,pass,jsp and js both inlines have been included for js* pattern
SMOKE-003-015,33085,1,1,pass,jsp and js both inlines have been included for j[sp]+ pattern
SMOKE-003-016,33086,1,1,pass,PostURLCallBack for set embed objects api;mode zero;not implemented
SMOKE-003-017,33087,1,1,pass,PostURLCallBack for set embd objects api;mode one;not implemented
SMOKE-003-018,33088,1,1,pass,PostURLCallBack for set embd objects api;url redirection;not implemented
SMOKE-004-001,33089,1,1,pass,Redirection upto 5 depth without using parent url method for redirected url
SMOKE-004-002,33090,1,1,pass,Redirection upto 5 depth using parent url method for redirected url
SMOKE-004-003,33091,1,1,pass,Redirection from http to https upto depth 1 without using parent url method for redirected url
SMOKE-004-004,33092,1,1,pass,Redirection from http to https upto depth 1 using parent url method for redirected url
SMOKE-004-005,33093,1,1,pass,Redirection from one host to another host
SMOKE-004-006,33094,1,1,pass,Redirection restriction after depth 3
SMOKE-004-007,33095,1,1,pass,HTTP2 Upgrade Mode- Redirection upto 5 depth without using parent url method for redirected url
SMOKE-004-008,33096,1,1,pass,HTTP2 Upgrade Mode- Redirection upto 5 depth using parent url method for redirected url
SMOKE-004-009,33097,1,1,pass,HTTP2 Upgrade Mode- Redirection from one host to another host
SMOKE-004-010,33098,1,1,pass,HTTP2 Upgrade Mode- Redirection restriction after depth 3
SMOKE-004-011,33099,1,1,pass,HTTP2 Prior knowledge Mode- Redirection upto 5 depth without using parent url method for redirected url
SMOKE-004-012,33100,1,1,pass,HTTP2 Prior knowledge Mode- Redirection upto 5 depth using parent url method for redirected url
SMOKE-004-013,33101,1,1,pass,HTTP2 Prior knowledge Mode- Redirection from one host to another host
SMOKE-004-014,33102,1,1,pass,HTTP2 Prior knowledge Mode- Redirection restriction after depth 3
SMOKE-005-003,33103,1,1,fail,Four URL Test with expiry code and cookie mode 1 Failed
SMOKE-005-004,33104,1,1,pass,Two URL Test with command line cookie and cookie mode 1 Passed
SMOKE-006-001,33105,1,1,pass,KeepAlive with percentage 100 Passed
SMOKE-006-002,33106,1,1,pass,KeepAlive with percentage 0 Passed
SMOKE-007-001,33107,1,1,pass,One Url MultiPart With Boundary Passed
SMOKE-007-002,33108,1,1,pass,One Url MultiPart Without Boundary Passed
SMOKE-007-003,33109,1,1,pass,One Url MultiPart Nested Boundries Passed
SMOKE-008-001,33110,1,1,pass,Page think time with constant mode Passed
SMOKE-008-002,33111,1,1,pass,Page think time with uniform distribution mode Passed
SMOKE-008-003,33112,1,1,pass,Page think time with internet type distribution mode Passed
SMOKE-008-004,33113,1,1,pass,Page think time keyword for specific page Passed
SMOKE-008-005,33114,1,1,pass,Page think time keyword with overide and multiply values Passed
SMOKE-008-007,33115,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-008,33116,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-009,33117,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-010,33118,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-009-001,33119,1,1,pass,Search in two main url Passed
SMOKE-009-002,33120,1,1,pass,Search in two main url with savelength mode Passed
SMOKE-009-003,33121,1,1,pass,Search for two main url with save length and save offset mode  Passed
SMOKE-009-004,33122,1,1,pass,Search for two main url with save length and save offset mode Passed
SMOKE-009-005,33123,1,1,pass,Search for two main url with save length and save offset mode in 2 pages Passed
SMOKE-009-006,33124,1,1,pass,Search for two main url with save length and save offset mode in 2 pages Passed
SMOKE-009-007,33125,1,1,pass,Checkpoint with two main url check value found Passed
SMOKE-009-008,33126,1,1,pass,Checkpoint with two main url check value not found Passed
SMOKE-009-009,33127,1,1,pass,Checkpoint with two main url check value with prefix and suffix found Passed
SMOKE-009-010,33128,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found Passed
SMOKE-009-011,33129,1,1,pass,Checkpoint with two main url check value with prefix and suffix found and ActionOnfailContinue Passed
SMOKE-009-012,33130,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found ActionOnfailStop Passed
SMOKE-009-013,33131,1,1,pass,Checkpoint with two main url check value with prefix and suffix found comparing from a file Passed
SMOKE-009-014,33132,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found Passed
SMOKE-009-015,33133,1,1,pass,File Parameter 5 main url ChangeOnUse Passed
SMOKE-009-016,33134,1,1,pass,File Parameter 5 main url ChangeOnSession Passed
SMOKE-009-017,33135,1,1,pass,File Parameter 5 url ModeWeighted Passed
SMOKE-009-018,33136,1,1,pass,Serach Param for two main url Passed
SMOKE-009-019,33137,1,1,pass,Search Param for 5 url with single page search savelenght and saveoffset and ORD all Passed
SMOKE-009-021,33138,1,1,pass,nsl_unique_number_var keyword is validated using Refresh Mode: Use
SMOKE-009-022,33139,1,1,pass,nsl_unique_number_var keyword is validated using Refresh Mode Session
SMOKE-009-023,33140,1,1,pass,testcase is validated
SMOKE-009-024,33141,1,1,pass,condition is passed
SMOKE-009-025,33142,1,1,pass,Expected data is matched with actual data in 2nd and 3rd Request Page Url
SMOKE-009-026,33143,1,1,pass,Req_Rep file data is matched with expected results
SMOKE-009-027,33144,1,1,pass,Input size exceed array index
SMOKE-010-009,33145,1,1,fail,Ftp testcase failed due to url failure;vsftpd service may be stopped
SMOKE-010-010,33146,1,1,pass,Ftp test for binary data and passive mode Passed
SMOKE-010-011,33147,1,1,fail,Ftp testcase failed due to url failure;vsftpd service may be stopped
SMOKE-010-012,33148,1,1,pass,Ftp test for binary data and active mode Passed
SMOKE-012-001,33149,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-002,33150,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-003,33151,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-004,33152,1,1,pass,Runlogic for sequence flows test Passed
SMOKE-012-005,33153,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-006,33154,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-007,33155,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-008,33156,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-009,33157,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-013-001,33158,1,1,pass,SyncPoint Before FirstTrans 10Users all users release Passed
SMOKE-013-002,33159,1,1,pass,SyncPoint Before FirstTrans 10Users 5 users release  Passed
SMOKE-013-003,33160,1,1,pass,SyncPoint Before FirstTrans 10Users 20 users release timeout  Passed
SMOKE-013-004,33161,1,1,pass,SyncPoint In Between Transasctions 10 Users all users release Passed
SMOKE-013-005,33162,1,1,pass,SyncPoint Before First Page 10 Users all users release Passed
SMOKE-013-006,33163,1,1,pass,SyncPoint In Between Pages 10Users 5users release Passed
SMOKE-013-007,33164,1,1,pass,Syncpoint Overall timeout pass
SMOKE-013-008,33165,1,1,pass,Syncpoint Vuser inter arrival timeout
SMOKE-014-001,33166,1,1,pass,NS add header with Main url Passed
SMOKE-014-002,33167,1,1,pass,NS add header with Embedded url Passed
SMOKE-014-003,33168,1,1,pass,NS add header with both Main and Embedded urls Passed
SMOKE-014-004,33169,1,1,pass,NS auto add header with Main urls Passed
SMOKE-014-005,33170,1,1,pass,NS auto add header with Embedded urls Passed
SMOKE-014-006,33171,1,1,pass,NS auto add header with Mix Mode urls Passed
SMOKE-014-007,33172,1,1,pass,NS clean-up header Passed
SMOKE-014-008,33173,1,1,pass,NS remove auto header Passed
SMOKE-014-009,33174,1,1,pass,NS add and remove header combined Passed
SMOKE-015-001,33175,1,1,pass,NetworkCache test for both cacheable and non-cacheable request Passed
SMOKE-015-002,33176,1,1,pass,NetworkCache test with NetOcean server having default URL Passed
SMOKE-015-003,33177,1,1,pass,NetworkCache test with NetOcean server having parameterized requests Passed
SMOKE-016-001,33178,1,1,pass,do not filter all events will be logged condition verified
SMOKE-016-002,33179,1,1,pass,do not filter all events will be logged condition verified
SMOKE-016-003,33180,1,1,pass,do not filter all events will be logged condition verified
SMOKE-016-004,33181,1,1,pass,do not filter all events will be logged condition verified
SMOKE-016-005,33182,1,1,pass,log events as per event definition file with log event as per state change mode(1) tested
SMOKE-016-006,33183,1,1,pass,Expected timeout events has been logged ;as per event definition file with log event as per events count
SMOKE-016-007,33184,1,1,pass,all CvFail events has been logged;for logging events as per event definition file and event to be logged as per event occurence time
SMOKE-016-008,33185,1,1,pass,log events as per event definition file with no flter(0) mode tested
SMOKE-016-009,33186,1,1,pass,no events being logged for filter all events;no events will be logged configuration setting
